Candidate ID,DOJ Extended,Duration to Accept Offer,Notice Period,Offered Band,Percentage Hike Expected,Percentage Hike Offered,Joining Bonus,Gender,Candidate Source,Relevant Experience,Line of Business,Date of Birth,Joining Location,Candidate Relocation Status,HR Status
10055,TRUE,9,70,C1,49,16,FALSE,Male,Employee Referral,16,Marketing,02-11-2018,London,FALSE,Not Joined
10056,TRUE,4,22,C2,41,49,TRUE,Female,Direct,3,Finance,21-07-2009,London,TRUE,Joined
10057,FALSE,17,45,C0,23,32,TRUE,Male,Agency,14,IT,17-12-2019,London,TRUE,Joined
10058,TRUE,7,65,C6,43,27,FALSE,Male,Employee Referral,15,HR,30-10-2019,Paris,TRUE,Joined
10059,FALSE,2,73,C2,10,25,FALSE,Male,Direct,13,Finance,22-09-2007,Tokyo,FALSE,Joined
10060,TRUE,26,39,C3,15,32,FALSE,Male,Direct,5,IT,21-01-2016,San Francisco,TRUE,Joined
10061,TRUE,24,60,C0,38,49,FALSE,Male,Agency,2,Finance,08-08-2018,Tokyo,TRUE,Not Joined
10062,FALSE,11,39,C2,16,25,FALSE,Male,Agency,5,HR,21-07-2017,London,FALSE,Joined
10063,FALSE,16,41,C6,16,39,TRUE,Male,Agency,12,HR,18-10-2007,London,FALSE,Joined
10064,TRUE,29,51,C0,20,17,TRUE,Female,Agency,4,Sales,01-01-2010,Tokyo,TRUE,Not Joined
10065,TRUE,28,50,C4,38,38,FALSE,Male,Direct,17,Sales,20-08-2007,London,TRUE,Joined
10066,TRUE,1,20,C5,44,17,TRUE,Female,Agency,12,Sales,15-08-2010,Paris,TRUE,Joined
10067,FALSE,12,54,C2,24,48,TRUE,Female,Employee Referral,19,IT,11-12-2020,New York,TRUE,Joined
10068,TRUE,19,63,C6,49,26,TRUE,Male,Direct,12,HR,03-10-2011,New York,TRUE,Joined
10069,TRUE,25,47,C1,10,14,TRUE,Female,Direct,3,HR,16-11-2010,Paris,TRUE,Not Joined
10070,FALSE,21,85,C0,12,23,TRUE,Male,Employee Referral,10,Marketing,15-04-2009,San Francisco,TRUE,Joined
10071,TRUE,6,38,C2,37,46,FALSE,Female,Agency,6,IT,13-08-2011,New York,TRUE,Joined
10072,TRUE,8,48,C4,11,19,FALSE,Female,Employee Referral,10,Finance,14-04-2011,Paris,TRUE,Not Joined
10073,TRUE,5,54,C4,23,38,FALSE,Male,Employee Referral,4,Marketing,14-02-2014,Paris,FALSE,Joined
10074,TRUE,26,59,C5,34,46,TRUE,Male,Employee Referral,11,HR,12-04-2009,Tokyo,FALSE,Joined
10075,FALSE,8,68,C4,32,34,TRUE,Female,Agency,10,Finance,08-03-2015,San Francisco,FALSE,Not Joined
10076,FALSE,17,64,C4,40,49,TRUE,Female,Employee Referral,8,Finance,09-10-2007,San Francisco,TRUE,Joined
10077,TRUE,18,37,C0,15,37,TRUE,Male,Employee Referral,12,HR,11-11-2014,Tokyo,FALSE,Not Joined
10078,FALSE,11,78,C5,35,17,FALSE,Female,Agency,3,Finance,02-12-2008,Tokyo,TRUE,Not Joined
10079,TRUE,3,71,C5,18,23,FALSE,Female,Employee Referral,9,IT,04-09-2008,New York,TRUE,Joined
10080,FALSE,27,68,C3,16,35,TRUE,Female,Employee Referral,10,Marketing,19-06-2015,Tokyo,FALSE,Joined
10081,FALSE,23,74,C1,10,27,TRUE,Female,Direct,15,Marketing,05-12-2016,San Francisco,FALSE,Joined
10082,TRUE,22,74,C6,19,39,TRUE,Female,Agency,12,Sales,06-12-2019,London,TRUE,Joined
10083,FALSE,24,79,C1,34,21,FALSE,Male,Direct,19,Marketing,10-03-2016,New York,TRUE,Not Joined
10084,TRUE,10,37,C6,30,16,TRUE,Male,Employee Referral,19,Sales,08-09-2020,Tokyo,TRUE,Joined
10085,FALSE,15,23,C0,29,21,TRUE,Female,Agency,13,HR,04-08-2008,San Francisco,TRUE,Joined
10086,TRUE,28,84,C6,18,21,FALSE,Male,Direct,14,HR,21-05-2018,San Francisco,TRUE,Not Joined
10087,TRUE,21,23,C2,25,49,TRUE,Male,Agency,4,HR,24-01-2020,New York,TRUE,Joined
10088,FALSE,27,66,C1,38,30,FALSE,Male,Employee Referral,18,Marketing,18-01-2012,Tokyo,TRUE,Joined
10089,FALSE,13,60,C5,17,18,TRUE,Male,Direct,12,IT,09-10-2015,San Francisco,TRUE,Joined
10090,FALSE,15,19,C5,46,47,TRUE,Female,Agency,15,HR,11-02-2012,Paris,TRUE,Joined
10091,TRUE,21,69,C3,45,21,FALSE,Female,Employee Referral,14,Finance,03-08-2020,Tokyo,FALSE,Not Joined
10092,TRUE,11,36,C2,30,14,TRUE,Male,Employee Referral,5,Marketing,05-09-2016,London,FALSE,Joined
10093,TRUE,5,37,C1,27,23,FALSE,Male,Agency,8,IT,11-09-2010,Tokyo,TRUE,Not Joined
10094,TRUE,5,51,C4,26,48,TRUE,Male,Agency,6,IT,17-03-2008,New York,FALSE,Not Joined
10095,FALSE,20,72,C6,29,28,FALSE,Female,Direct,14,Sales,13-12-2020,Paris,TRUE,Joined
10096,TRUE,19,38,C5,45,39,FALSE,Female,Agency,1,IT,01-03-2017,San Francisco,TRUE,Joined
10097,FALSE,28,32,C3,33,20,TRUE,Male,Direct,9,Finance,21-01-2016,San Francisco,TRUE,Joined
10098,TRUE,16,24,C1,23,24,TRUE,Female,Employee Referral,18,Finance,30-11-2017,Paris,TRUE,Not Joined
10099,TRUE,17,25,C5,47,42,FALSE,Female,Direct,7,HR,17-04-2009,London,TRUE,Joined
10100,TRUE,10,85,C5,19,20,FALSE,Male,Agency,18,IT,31-12-2017,Tokyo,TRUE,Not Joined
10101,FALSE,14,26,C4,37,17,FALSE,Female,Agency,13,HR,19-05-2013,Tokyo,FALSE,Not Joined
10102,TRUE,27,82,C1,41,37,FALSE,Female,Employee Referral,5,Finance,10-11-2018,London,TRUE,Joined
10103,FALSE,28,81,C1,44,24,TRUE,Female,Direct,17,Sales,26-10-2016,San Francisco,FALSE,Not Joined
10104,FALSE,5,49,C2,10,23,FALSE,Female,Employee Referral,13,Marketing,29-07-2011,London,FALSE,Joined
10105,TRUE,18,22,C3,23,22,FALSE,Female,Agency,3,Marketing,13-06-2014,Tokyo,FALSE,Not Joined
10106,FALSE,12,58,C0,48,31,TRUE,Female,Agency,13,Sales,28-04-2012,Paris,TRUE,Joined
10107,FALSE,22,43,C2,17,39,TRUE,Male,Employee Referral,7,HR,19-07-2012,New York,FALSE,Not Joined
10108,TRUE,20,77,C5,28,18,TRUE,Male,Agency,3,IT,30-09-2015,London,FALSE,Joined
10109,TRUE,16,60,C3,27,25,FALSE,Female,Employee Referral,6,Sales,08-07-2020,Tokyo,TRUE,Not Joined
10110,TRUE,17,81,C1,14,27,TRUE,Female,Direct,6,Marketing,15-06-2007,Paris,FALSE,Not Joined
10111,FALSE,13,73,C2,11,30,FALSE,Female,Employee Referral,5,Sales,22-07-2012,Paris,TRUE,Not Joined
10112,FALSE,1,27,C6,38,13,FALSE,Female,Direct,12,Finance,12-08-2009,New York,FALSE,Not Joined
10113,FALSE,23,41,C4,35,30,FALSE,Male,Direct,13,IT,22-09-2011,New York,TRUE,Not Joined
10114,FALSE,4,61,C5,36,25,FALSE,Female,Employee Referral,6,Finance,12-07-2011,New York,TRUE,Not Joined
10115,TRUE,12,73,C5,24,10,FALSE,Male,Direct,5,Finance,20-08-2015,London,TRUE,Not Joined
10116,TRUE,21,28,C6,15,22,FALSE,Female,Direct,9,HR,28-01-2008,Paris,FALSE,Joined
10117,TRUE,2,85,C6,35,48,TRUE,Female,Employee Referral,19,Sales,18-01-2013,New York,FALSE,Joined
10118,FALSE,23,15,C2,39,37,FALSE,Female,Employee Referral,14,IT,27-08-2013,Paris,FALSE,Not Joined
10119,FALSE,18,76,C3,45,32,TRUE,Male,Direct,6,Marketing,02-02-2019,London,FALSE,Not Joined
10120,TRUE,22,54,C1,32,25,FALSE,Female,Direct,8,IT,02-08-2007,London,TRUE,Joined
10121,FALSE,17,82,C5,24,21,TRUE,Female,Employee Referral,14,Marketing,13-10-2016,New York,TRUE,Not Joined
10122,FALSE,3,29,C3,13,46,TRUE,Female,Direct,10,Marketing,17-06-2017,Paris,TRUE,Not Joined
10123,TRUE,6,46,C3,28,10,TRUE,Male,Employee Referral,10,HR,02-09-2007,Tokyo,FALSE,Joined
10124,TRUE,16,58,C2,15,49,TRUE,Male,Direct,7,IT,05-04-2009,Tokyo,TRUE,Joined
10125,TRUE,22,29,C5,32,26,TRUE,Male,Direct,2,HR,04-10-2014,San Francisco,FALSE,Not Joined
10126,FALSE,7,26,C0,10,40,TRUE,Female,Direct,16,Marketing,22-01-2015,Tokyo,FALSE,Not Joined
10127,FALSE,15,42,C2,37,36,FALSE,Male,Direct,9,HR,02-03-2011,London,TRUE,Not Joined
10128,TRUE,14,35,C2,48,46,FALSE,Male,Agency,15,HR,25-07-2008,London,FALSE,Joined
10129,TRUE,29,21,C2,30,27,FALSE,Female,Direct,6,Sales,08-08-2011,Tokyo,TRUE,Not Joined
10130,FALSE,2,24,C5,16,30,TRUE,Male,Employee Referral,11,Sales,27-08-2014,San Francisco,TRUE,Joined
10131,FALSE,12,16,C6,23,28,TRUE,Female,Employee Referral,7,Marketing,01-11-2018,London,TRUE,Not Joined
10132,TRUE,26,80,C0,42,43,FALSE,Male,Direct,18,Finance,01-07-2010,New York,TRUE,Not Joined
10133,FALSE,16,27,C2,18,41,TRUE,Female,Agency,18,Finance,08-06-2010,Tokyo,TRUE,Joined
10134,TRUE,27,73,C4,30,43,FALSE,Male,Agency,18,Finance,20-08-2015,New York,TRUE,Joined
10135,TRUE,29,71,C3,46,34,TRUE,Male,Employee Referral,14,IT,27-10-2007,London,TRUE,Not Joined
10136,TRUE,23,62,C1,18,47,FALSE,Male,Agency,6,IT,14-05-2017,New York,FALSE,Not Joined
10137,TRUE,5,77,C6,40,26,TRUE,Female,Agency,19,Sales,22-11-2010,Tokyo,TRUE,Not Joined
10138,TRUE,12,89,C4,11,13,TRUE,Male,Agency,7,IT,13-09-2008,London,TRUE,Joined
10139,TRUE,20,58,C4,39,22,TRUE,Male,Employee Referral,10,Marketing,07-02-2014,Tokyo,FALSE,Not Joined
10140,FALSE,24,59,C1,32,15,TRUE,Female,Direct,17,HR,21-03-2013,San Francisco,TRUE,Joined
10141,TRUE,2,31,C5,12,10,TRUE,Male,Direct,10,IT,16-11-2012,Tokyo,FALSE,Joined
10142,FALSE,29,52,C1,47,18,TRUE,Male,Direct,8,HR,01-03-2009,London,FALSE,Not Joined
10143,FALSE,23,74,C1,15,17,TRUE,Female,Employee Referral,13,Finance,11-08-2013,Tokyo,FALSE,Not Joined
10144,TRUE,21,39,C3,32,42,TRUE,Female,Employee Referral,8,IT,16-10-2018,New York,TRUE,Joined
10145,FALSE,5,27,C5,45,15,FALSE,Male,Direct,17,HR,07-03-2017,London,FALSE,Not Joined
10146,TRUE,11,50,C3,24,28,FALSE,Male,Agency,11,HR,28-06-2012,New York,FALSE,Not Joined
10147,FALSE,20,38,C5,11,40,FALSE,Female,Employee Referral,1,Sales,29-08-2010,Paris,FALSE,Joined
10148,FALSE,4,72,C3,45,39,TRUE,Female,Employee Referral,15,Marketing,08-12-2017,Tokyo,FALSE,Not Joined
10149,TRUE,8,62,C1,13,32,FALSE,Male,Agency,19,Finance,24-04-2012,San Francisco,TRUE,Not Joined
10150,TRUE,1,18,C1,31,10,TRUE,Female,Agency,4,Sales,05-03-2008,San Francisco,TRUE,Not Joined
10151,FALSE,24,73,C1,30,48,FALSE,Female,Direct,6,HR,03-07-2016,Paris,TRUE,Not Joined
10152,FALSE,6,60,C5,30,18,FALSE,Female,Direct,19,HR,12-02-2011,Paris,TRUE,Joined
10153,TRUE,19,51,C4,18,28,FALSE,Female,Employee Referral,4,Sales,10-01-2017,Paris,FALSE,Not Joined
10154,TRUE,18,28,C2,14,10,FALSE,Male,Direct,7,Finance,28-07-2010,Paris,TRUE,Not Joined
10155,TRUE,24,81,C4,22,13,TRUE,Female,Employee Referral,1,IT,10-06-2015,Paris,FALSE,Not Joined
10156,FALSE,4,85,C2,38,47,FALSE,Female,Direct,16,IT,20-08-2018,New York,FALSE,Not Joined
10157,TRUE,21,49,C2,18,46,FALSE,Male,Agency,14,Marketing,16-01-2011,Tokyo,FALSE,Joined
10158,FALSE,26,25,C0,29,39,FALSE,Female,Employee Referral,14,IT,30-03-2020,London,FALSE,Not Joined
10159,FALSE,27,54,C2,43,48,TRUE,Male,Agency,6,Sales,03-12-2007,New York,TRUE,Not Joined
10160,TRUE,25,46,C5,32,46,FALSE,Female,Agency,14,Sales,07-12-2011,London,FALSE,Not Joined
10161,FALSE,6,38,C5,48,34,FALSE,Female,Direct,10,Finance,13-03-2009,New York,FALSE,Joined
10162,TRUE,14,82,C3,42,20,TRUE,Male,Direct,3,Finance,02-09-2015,Paris,TRUE,Joined
10163,FALSE,2,58,C2,12,22,TRUE,Female,Agency,9,Sales,29-01-2019,London,FALSE,Joined
10164,FALSE,24,21,C5,13,18,TRUE,Female,Agency,16,Sales,18-05-2010,London,FALSE,Not Joined
10165,TRUE,23,44,C3,37,24,TRUE,Female,Direct,16,Marketing,23-04-2016,Paris,FALSE,Joined
10166,TRUE,13,31,C4,44,17,TRUE,Male,Agency,7,Finance,19-02-2008,Tokyo,FALSE,Joined
10167,TRUE,19,81,C4,13,12,TRUE,Male,Direct,14,Sales,12-01-2011,San Francisco,TRUE,Not Joined
10168,FALSE,21,38,C2,34,45,TRUE,Female,Employee Referral,14,HR,21-12-2012,London,TRUE,Joined
10169,TRUE,11,29,C1,49,18,TRUE,Male,Agency,14,Marketing,27-11-2011,New York,TRUE,Joined
10170,FALSE,11,58,C1,28,11,FALSE,Female,Direct,7,Marketing,25-12-2014,San Francisco,TRUE,Joined
10171,FALSE,16,87,C2,38,30,TRUE,Female,Employee Referral,16,Sales,13-01-2014,Paris,FALSE,Not Joined
10172,TRUE,18,84,C1,39,47,TRUE,Male,Employee Referral,5,IT,15-05-2013,New York,TRUE,Joined
10173,FALSE,19,59,C0,35,12,FALSE,Female,Direct,8,Marketing,14-01-2016,Paris,FALSE,Joined
10174,TRUE,29,89,C5,38,42,TRUE,Female,Direct,4,Marketing,15-06-2014,San Francisco,FALSE,Joined
10175,TRUE,23,72,C5,10,11,TRUE,Female,Agency,4,HR,13-01-2019,Tokyo,TRUE,Joined
10176,FALSE,14,65,C0,42,35,TRUE,Male,Agency,12,IT,11-08-2011,San Francisco,TRUE,Joined
10177,FALSE,9,24,C1,45,19,FALSE,Female,Employee Referral,13,Sales,23-12-2010,New York,FALSE,Joined
10178,TRUE,14,36,C0,49,47,FALSE,Female,Agency,7,Marketing,04-03-2018,San Francisco,FALSE,Joined
10179,TRUE,22,48,C1,46,45,TRUE,Male,Employee Referral,14,Sales,07-01-2019,Paris,TRUE,Joined
10180,FALSE,20,19,C6,26,26,TRUE,Female,Direct,3,IT,02-11-2017,London,TRUE,Not Joined
10181,FALSE,21,32,C1,28,31,TRUE,Male,Direct,17,Marketing,01-04-2020,Tokyo,TRUE,Joined
10182,TRUE,5,60,C3,30,25,FALSE,Female,Employee Referral,11,HR,20-09-2018,New York,TRUE,Not Joined
10183,TRUE,6,39,C1,33,24,FALSE,Female,Employee Referral,9,Sales,25-04-2011,San Francisco,TRUE,Not Joined
10184,FALSE,24,44,C1,46,48,TRUE,Male,Employee Referral,13,IT,27-10-2009,Paris,FALSE,Joined
10185,TRUE,4,68,C5,33,49,FALSE,Male,Employee Referral,1,Marketing,25-03-2015,Tokyo,FALSE,Joined
10186,TRUE,10,59,C1,13,27,FALSE,Male,Direct,7,Sales,14-09-2010,Paris,FALSE,Joined
10187,TRUE,15,58,C5,43,12,TRUE,Male,Direct,4,IT,25-07-2016,Tokyo,FALSE,Joined
10188,TRUE,21,20,C6,13,32,FALSE,Female,Agency,9,HR,15-05-2012,Paris,FALSE,Not Joined
10189,FALSE,20,40,C1,33,23,FALSE,Male,Agency,11,IT,19-01-2021,Paris,TRUE,Not Joined
10190,TRUE,23,35,C0,27,48,TRUE,Female,Agency,17,Finance,06-02-2019,San Francisco,FALSE,Joined
10191,TRUE,26,86,C3,40,22,FALSE,Female,Agency,14,HR,24-05-2018,Tokyo,FALSE,Not Joined
10192,FALSE,5,70,C2,31,24,FALSE,Female,Employee Referral,18,Sales,30-03-2013,London,FALSE,Joined
10193,TRUE,3,44,C6,42,16,FALSE,Female,Agency,6,Marketing,20-10-2008,New York,FALSE,Not Joined
10194,TRUE,14,17,C1,23,41,TRUE,Female,Employee Referral,8,Sales,25-04-2009,San Francisco,TRUE,Joined
10195,FALSE,23,27,C0,21,43,FALSE,Female,Agency,19,Marketing,26-04-2013,Paris,FALSE,Joined
10196,TRUE,25,82,C1,46,22,TRUE,Male,Direct,2,Sales,11-12-2019,New York,TRUE,Not Joined
10197,FALSE,25,20,C1,18,27,TRUE,Female,Agency,5,IT,12-09-2013,Paris,FALSE,Joined
10198,FALSE,29,76,C3,18,15,TRUE,Male,Agency,2,Finance,31-03-2015,Paris,FALSE,Joined
10199,TRUE,16,76,C3,35,32,FALSE,Male,Employee Referral,8,HR,09-06-2007,London,TRUE,Not Joined
10200,TRUE,19,77,C2,27,27,TRUE,Male,Direct,12,Marketing,14-02-2014,London,FALSE,Not Joined
10201,FALSE,13,23,C4,25,38,FALSE,Female,Direct,11,Marketing,13-05-2019,San Francisco,FALSE,Joined
10202,TRUE,27,64,C2,15,45,TRUE,Female,Employee Referral,16,Marketing,06-03-2015,New York,FALSE,Not Joined
10203,TRUE,13,17,C1,25,43,FALSE,Male,Direct,9,HR,19-12-2008,London,FALSE,Not Joined
10204,FALSE,16,69,C1,21,47,TRUE,Male,Employee Referral,14,Marketing,06-01-2021,Tokyo,FALSE,Joined
10205,FALSE,13,58,C5,47,40,FALSE,Male,Agency,1,IT,06-10-2012,Tokyo,FALSE,Joined
10206,FALSE,19,35,C0,20,13,TRUE,Male,Employee Referral,4,IT,01-10-2012,London,TRUE,Not Joined
10207,TRUE,23,20,C1,10,43,TRUE,Female,Agency,12,IT,05-01-2021,Paris,FALSE,Joined
10208,FALSE,10,27,C2,24,31,TRUE,Male,Employee Referral,8,Marketing,09-07-2011,San Francisco,FALSE,Joined
10209,FALSE,10,32,C3,14,22,TRUE,Male,Agency,9,Finance,19-12-2007,New York,TRUE,Joined
10210,FALSE,12,40,C1,28,24,TRUE,Female,Agency,1,Sales,30-12-2008,New York,FALSE,Not Joined
10211,FALSE,22,73,C2,15,43,FALSE,Female,Employee Referral,4,IT,20-02-2012,San Francisco,FALSE,Not Joined
10212,FALSE,26,77,C1,24,10,TRUE,Male,Agency,6,Finance,24-03-2012,London,TRUE,Joined
10213,FALSE,10,70,C4,13,41,TRUE,Female,Agency,3,HR,13-07-2011,New York,FALSE,Not Joined
10214,TRUE,19,51,C4,16,43,FALSE,Male,Agency,12,Marketing,07-08-2008,New York,TRUE,Joined
10215,TRUE,9,30,C2,15,29,FALSE,Male,Direct,4,IT,11-02-2018,Tokyo,TRUE,Joined
10216,FALSE,16,38,C6,12,19,FALSE,Female,Employee Referral,6,HR,27-09-2013,Paris,FALSE,Joined
10217,TRUE,23,55,C4,44,49,FALSE,Male,Direct,4,HR,17-10-2010,London,FALSE,Joined
10218,FALSE,1,41,C1,32,35,TRUE,Female,Employee Referral,15,IT,14-07-2020,Tokyo,FALSE,Joined
10219,TRUE,6,30,C0,37,44,FALSE,Male,Agency,9,Finance,13-11-2017,Paris,FALSE,Joined
10220,TRUE,18,35,C6,41,19,FALSE,Female,Agency,10,HR,23-07-2015,Paris,TRUE,Joined
10221,TRUE,18,72,C2,28,17,FALSE,Male,Agency,13,Marketing,20-02-2018,New York,FALSE,Joined
10222,FALSE,23,41,C2,41,28,FALSE,Male,Agency,15,IT,25-07-2015,London,FALSE,Not Joined
10223,FALSE,16,75,C0,42,45,TRUE,Male,Direct,17,IT,21-03-2019,New York,FALSE,Joined
10224,FALSE,26,15,C1,44,39,TRUE,Female,Employee Referral,18,Marketing,28-10-2008,New York,FALSE,Not Joined
10225,TRUE,5,47,C6,39,44,TRUE,Female,Direct,15,HR,21-07-2019,London,TRUE,Not Joined
10226,FALSE,26,82,C4,35,25,FALSE,Female,Employee Referral,2,HR,04-11-2015,San Francisco,FALSE,Not Joined
10227,FALSE,27,31,C6,11,46,FALSE,Female,Agency,5,IT,06-04-2017,London,FALSE,Not Joined
10228,FALSE,25,37,C4,26,16,FALSE,Female,Direct,11,Finance,24-12-2017,San Francisco,TRUE,Not Joined
10229,TRUE,1,76,C1,39,13,TRUE,Female,Employee Referral,4,Finance,14-06-2011,San Francisco,TRUE,Not Joined
10230,TRUE,26,71,C0,29,38,TRUE,Male,Employee Referral,18,Marketing,20-08-2020,Tokyo,TRUE,Joined
10231,TRUE,13,30,C5,37,43,TRUE,Male,Direct,8,IT,16-01-2015,London,TRUE,Not Joined
10232,FALSE,22,54,C6,27,47,TRUE,Female,Direct,19,Sales,26-11-2020,London,TRUE,Not Joined
10233,FALSE,9,54,C5,14,22,FALSE,Male,Agency,10,IT,19-01-2008,New York,TRUE,Not Joined
